nom_dpt,tx_hosp,hosp_2020-08-01,hosp_2020-08-02,hosp_2020-08-03,hosp_2020-08-04,hosp_2020-08-05,hosp_2020-08-06,hosp_2020-08-07,hosp_2020-08-08,hosp_2020-08-09,hosp_2020-08-10,hosp_2020-08-11,hosp_2020-08-12,hosp_2020-08-13,hosp_2020-08-14,hosp_2020-08-15,hosp_2020-08-16,hosp_2020-08-17,hosp_2020-08-18,hosp_2020-08-19,hosp_2020-08-20,hosp_2020-08-21,hosp_2020-08-22,hosp_2020-08-23,hosp_2020-08-24,hosp_2020-08-25,hosp_2020-08-26,hosp_2020-08-27,hosp_2020-08-28,hosp_2020-08-29,hosp_2020-08-30,hosp_2020-08-31,hosp_2020-09-01,hosp_2020-09-02,hosp_2020-09-03,hosp_2020-09-04,hosp_2020-09-05,hosp_2020-09-06,hosp_2020-09-07,hosp_2020-09-08,hosp_2020-09-09,hosp_2020-09-10,hosp_2020-09-11,hosp_2020-09-12,hosp_2020-09-13,hosp_2020-09-14,hosp_2020-09-15,hosp_2020-09-16,hosp_2020-09-17,hosp_2020-09-18,hosp_2020-09-19,hosp_2020-09-20,hosp_2020-09-21,hosp_2020-09-22,hosp_2020-09-23,hosp_2020-09-24,hosp_2020-09-25,hosp_2020-09-26,hosp_2020-09-27,hosp_2020-09-28,hosp_2020-09-29,hosp_2020-09-30,hosp_2020-10-01,hosp_2020-10-02,hosp_2020-10-03,hosp_2020-10-04,hosp_2020-10-05,hosp_2020-10-06,hosp_2020-10-07,hosp_2020-10-08,hosp_2020-10-09,hosp_2020-10-10,hosp_2020-10-11,hosp_2020-10-12,hosp_2020-10-13,hosp_2020-10-14,hosp_2020-10-15,hosp_2020-10-16,hosp_2020-10-17,hosp_2020-10-18,hosp_2020-10-19,hosp_2020-10-20,hosp_2020-10-21,hosp_2020-10-22,hosp_2020-10-23,hosp_2020-10-24,hosp_2020-10-25,hosp_2020-10-26,hosp_2020-10-27,hosp_2020-10-28,hosp_2020-10-29,hosp_2020-10-30,hosp_2020-10-31,hosp_2020-11-01,hosp_2020-11-02,hosp_2020-11-03,hosp_2020-11-04,hosp_2020-11-05,hosp_2020-11-06,hosp_2020-11-07,hosp_2020-11-08,hosp_2020-11-09,hosp_2020-11-10,hosp_2020-11-11,tx_rea,rea_2020-08-01,rea_2020-08-02,rea_2020-08-03,rea_2020-08-04,rea_2020-08-05,rea_2020-08-06,rea_2020-08-07,rea_2020-08-08,rea_2020-08-09,rea_2020-08-10,rea_2020-08-11,rea_2020-08-12,rea_2020-08-13,rea_2020-08-14,rea_2020-08-15,rea_2020-08-16,rea_2020-08-17,rea_2020-08-18,rea_2020-08-19,rea_2020-08-20,rea_2020-08-21,rea_2020-08-22,rea_2020-08-23,rea_2020-08-24,rea_2020-08-25,rea_2020-08-26,rea_2020-08-27,rea_2020-08-28,rea_2020-08-29,rea_2020-08-30,rea_2020-08-31,rea_2020-09-01,rea_2020-09-02,rea_2020-09-03,rea_2020-09-04,rea_2020-09-05,rea_2020-09-06,rea_2020-09-07,rea_2020-09-08,rea_2020-09-09,rea_2020-09-10,rea_2020-09-11,rea_2020-09-12,rea_2020-09-13,rea_2020-09-14,rea_2020-09-15,rea_2020-09-16,rea_2020-09-17,rea_2020-09-18,rea_2020-09-19,rea_2020-09-20,rea_2020-09-21,rea_2020-09-22,rea_2020-09-23,rea_2020-09-24,rea_2020-09-25,rea_2020-09-26,rea_2020-09-27,rea_2020-09-28,rea_2020-09-29,rea_2020-09-30,rea_2020-10-01,rea_2020-10-02,rea_2020-10-03,rea_2020-10-04,rea_2020-10-05,rea_2020-10-06,rea_2020-10-07,rea_2020-10-08,rea_2020-10-09,rea_2020-10-10,rea_2020-10-11,rea_2020-10-12,rea_2020-10-13,rea_2020-10-14,rea_2020-10-15,rea_2020-10-16,rea_2020-10-17,rea_2020-10-18,rea_2020-10-19,rea_2020-10-20,rea_2020-10-21,rea_2020-10-22,rea_2020-10-23,rea_2020-10-24,rea_2020-10-25,rea_2020-10-26,rea_2020-10-27,rea_2020-10-28,rea_2020-10-29,rea_2020-10-30,rea_2020-10-31,rea_2020-11-01,rea_2020-11-02,rea_2020-11-03,rea_2020-11-04,rea_2020-11-05,rea_2020-11-06,rea_2020-11-07,rea_2020-11-08,rea_2020-11-09,rea_2020-11-10,rea_2020-11-11
Ain,64.4740435086016,29,29,28,27,27,27,27,27,27,28,28,28,28,28,28,28,28,27,27,25,25,25,25,25,27,26,28,29,29,29,29,27,28,27,28,27,27,27,30,29,29,29,30,30,30,34,34,33,33,33,33,31,31,32,41,42,42,42,45,43,40,29,28,31,33,32,34,32,40,40,42,44,46,45,44,45,52,61,63,95,106,112,137,163,171,169,210,214,232,242,262,269,279,298,332,359,373,403,380,385,394,410,425,149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,6,7,7,7,7,6,9,9,10,10,7,8,8,8,7,7,7,9,10,11,11,12,14,14,20,18,18,19,26,30,30,29,30,36,39,37,34,34,33,35,37
Aisne,42.44986981430012,46,47,45,45,47,47,46,48,48,49,52,54,55,54,59,59,60,54,52,51,45,45,45,44,42,43,40,39,40,40,38,38,38,36,35,36,38,38,40,43,42,39,39,39,40,42,42,42,41,43,44,49,49,48,45,44,41,43,51,51,50,48,50,50,50,51,46,51,50,51,49,53,52,52,60,65,70,65,80,82,87,87,108,115,118,117,133,131,142,137,146,148,159,175,181,189,196,207,206,216,227,224,232,115.8,4,5,5,5,5,6,5,8,8,8,9,9,8,6,7,7,7,3,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,1,2,2,2,1,1,1,1,3,3,5,4,4,4,4,4,4,4,5,5,5,5,6,6,5,4,6,7,10,10,12,11,12,9,13,12,11,12,13,13,17,17,20,20,21,26,29,29,31,30,30,33,33,32,31
Allier,70.88622185082197,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,3,3,3,3,3,3,3,2,3,3,3,2,5,6,8,8,10,11,11,12,14,15,15,14,23,21,21,24,23,23,25,24,24,24,26,20,18,17,20,19,20,22,22,24,30,33,42,51,61,67,76,81,86,92,97,100,117,139,143,151,160,155,170,178,191,210,215,232,240,250,226,231,233,255,254,246,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,2,2,2,2,2,4,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,3,4,5,8,8,7,7,7,7,7,6,4,4,6,10,11,15,16,17,15,15,21,21,20,21,22,22,27,24,22
Alpes-de-Haute-Provence,71.26694817111195,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6,4,4,7,7,8,9,9,9,7,6,7,4,5,3,4,2,2,2,2,3,4,3,3,3,3,3,4,7,7,8,10,11,10,8,9,10,10,9,9,9,9,11,11,10,10,10,14,15,14,17,17,18,21,21,19,21,28,27,34,32,41,44,51,57,70,66,67,71,80,89,89,100,103,104,102,117,120,111.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,3,3,4,4,5,5,5,5,5,4,4,4,2,4,2,5,5,10,10,11,10,10,9,9,9,12,12,11,13,13
Alpes-Maritimes,36.35548557807955,32,33,35,38,43,46,50,51,51,53,52,49,63,65,63,64,65,68,69,70,72,70,69,67,71,80,74,72,72,71,67,67,82,84,78,82,84,91,98,98,93,92,98,99,106,106,111,120,132,146,147,144,138,143,145,138,123,120,117,121,115,119,126,126,127,127,119,113,114,120,120,121,138,136,146,156,167,181,183,197,193,200,211,221,228,231,216,247,256,260,262,280,290,282,314,343,361,376,393,409,413,406,399,111.3,5,5,5,5,4,5,7,7,7,5,5,5,4,2,2,2,2,1,1,3,3,3,4,7,8,7,7,7,5,5,7,4,7,8,9,9,10,11,11,15,15,15,15,13,13,10,11,11,16,17,17,15,14,14,13,12,14,14,16,16,16,16,15,16,17,19,15,16,18,19,18,18,20,21,21,26,28,30,29,34,37,34,33,39,40,41,44,44,49,48,49,53,54,50,53,64,66,62,63,64,73,74,71
Ardèche,73.8000764891481,1,1,1,1,2,2,2,2,2,2,9,9,9,9,9,9,10,12,12,14,15,14,14,12,12,12,15,15,12,12,12,12,12,12,12,12,12,13,11,11,13,14,16,16,16,17,18,9,8,8,8,11,12,14,13,11,9,9,9,7,7,8,8,8,8,10,10,11,11,12,12,15,18,21,28,33,40,41,48,61,71,76,75,77,93,105,114,118,122,136,134,150,161,174,195,200,204,210,210,216,227,241,247,149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,7,6,5,7,8,6,6,7,7,7,7,7,9,10,9,9,10,11,11,11,14,16,17,17,16,17,17,19,16,18
Ardennes,27.85395954748029,5,5,3,2,3,3,2,2,2,1,1,1,1,2,2,2,2,2,3,4,4,4,1,1,2,2,2,2,2,2,3,3,3,2,3,3,3,3,4,4,4,6,6,5,5,10,10,11,8,8,8,7,9,9,8,8,7,7,10,11,10,8,8,11,10,10,11,12,12,12,12,15,15,13,13,14,16,15,18,22,23,28,28,29,32,34,33,28,28,40,45,45,54,54,57,76,74,72,80,81,79,82,78,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,4,5,5,4,5,6,6,7,7,8,7,8,8,7,7,8,8,8,12,12,13,12,13,13,13,13,13,13,10
Ariège,31.16850073150563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,6,6,7,7,8,9,9,10,9,9,10,9,9,13,14,15,15,18,20,19,20,20,22,21,23,24,23,19,19,21,18,21,20,20,24,27,31,39,41,39,42,44,45,49,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,6,5,5,5,5,6,6,7,8,8,8,8,7,6,6,6,6,6,5,6,5,6,6,7,7,7,7,7,7,7,7,6,6,5
Aube,37.84080373867141,22,22,22,21,21,21,21,22,21,21,22,22,22,23,22,22,21,24,23,23,23,24,23,23,23,21,21,21,19,19,16,14,14,14,11,11,11,12,14,16,16,12,12,12,10,10,11,12,15,18,18,19,19,21,23,23,23,23,21,21,21,21,21,21,21,22,20,20,21,20,20,17,15,19,18,27,27,28,28,32,45,53,57,59,58,61,61,74,81,81,98,97,99,93,88,101,107,106,103,108,112,120,120,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,3,4,5,5,3,3,3,6,7,7,9,8,8,8,9,9,11,10,11,11,13,11,12
Aude,23.47702680601645,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,5,5,4,4,4,6,7,7,8,9,9,7,7,6,5,4,5,5,3,3,4,4,3,6,9,9,10,12,12,11,10,10,9,10,7,6,7,6,8,6,7,8,8,11,12,12,12,12,12,15,16,17,20,23,28,29,30,30,32,43,44,48,44,51,52,54,58,61,63,69,69,80,81,83,87,86,89,79.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,3,3,2,2,2,1,1,1,2,2,2,2,3,2,2,3,4,4,4,4,5,5,4,4,4,4,4,4,5,3,2,4,4,3,3,3,3,4,6,5,5,8,9,9,8,7,7,8,9
