nom,age_0,0_2020-12-01,0_2020-12-02,0_2020-12-03,0_2020-12-04,0_2020-12-05,0_2020-12-06,0_2020-12-07,0_2020-12-08,0_2020-12-09,0_2020-12-10,0_2020-12-11,0_2020-12-12,0_2020-12-13,0_2020-12-14,0_2020-12-15,0_2020-12-16,0_2020-12-17,0_2020-12-18,0_2020-12-19,0_2020-12-20,0_2020-12-21,0_2020-12-22,0_2020-12-23,0_2020-12-24,0_2020-12-25,0_2020-12-26,0_2020-12-27,0_2020-12-28,0_2020-12-29,0_2020-12-30,0_2020-12-31,age_65,65_2020-12-01,65_2020-12-02,65_2020-12-03,65_2020-12-04,65_2020-12-05,65_2020-12-06,65_2020-12-07,65_2020-12-08,65_2020-12-09,65_2020-12-10,65_2020-12-11,65_2020-12-12,65_2020-12-13,65_2020-12-14,65_2020-12-15,65_2020-12-16,65_2020-12-17,65_2020-12-18,65_2020-12-19,65_2020-12-20,65_2020-12-21,65_2020-12-22,65_2020-12-23,65_2020-12-24,65_2020-12-25,65_2020-12-26,65_2020-12-27,65_2020-12-28,65_2020-12-29,65_2020-12-30,65_2020-12-31
Métropole Rouen Normandie,105,90.1,87.7,83.8,78.1,82,83.6,83.5,77.2,75.9,76.3,78.3,78,74.8,77.3,83.4,90.8,91.8,97.7,98.7,98.4,104.8,104.7,106.6,109.4,93.9,95.9,95.6,99,103,101.3,105,118.2,105.9,110.6,110.4,107.5,114.3,121.1,117.1,117.6,108,109.5,111.4,112.9,104.6,105.4,113.5,115.8,116.5,120.3,113.7,112.4,121.7,122.8,127.2,125.9,108.2,113.5,112,116.8,113.8,116.8,118.2
Métropole Nice Côte d'Azur,360.6,169.4,178,176.9,181.3,179.4,178.2,180.5,185.2,190.2,188.2,176.3,183.8,184.7,192.6,209.4,222.5,241.9,269.6,285.9,293.1,324.8,344.2,365.7,367.8,318.1,321.8,323.6,331.7,340.8,361.3,360.6,312.7,154.3,173.3,181,218.1,210.3,208.1,212,212.7,212,213.5,163.1,168.1,167.3,172.7,192.4,199.5,196.2,229.7,244.9,249.4,267.8,281,290.9,292.3,245.1,236.5,235.1,244.3,252.8,302.5,312.7
Metz Métropole,222.6,140.6,125.5,126.6,131.2,133.9,134.4,132.2,143.5,159.1,157.5,164.7,172.4,171.8,189.8,202.5,212.5,219.2,226.5,232.5,233.9,236.8,262.2,253.1,235.8,198.8,184.3,183.8,204.7,203.5,222.4,222.6,205.8,149,135.7,174.7,190.2,190.7,190.7,185.2,193,242.8,226.7,255.1,268.5,270.8,292.5,340.7,303,288.7,284.6,283.7,283.5,280.9,331.7,324.8,271.6,227.2,216.5,214.4,230.5,184.4,200.8,205.8
Grenoble-Alpes-Métropole,171.7,195.9,192.8,185.4,175.5,173.4,169.4,173.4,176.3,187.2,187.8,196,192.9,192.5,192.8,194,192.4,212.6,221,238.2,261.6,259.5,262.2,258.2,234.9,196.8,186.1,164.9,170.6,165.8,171.3,171.7,189.2,247,263.8,242.9,237.8,254.8,246.5,255.8,255.1,250.3,248.7,241.9,223.6,221.3,211.9,190.1,191.7,203.9,225.7,244.8,267,274,295.4,291,273.8,221.7,210.9,195.8,200.5,188.6,192.2,189.2
Métropole de Lyon,158,161.8,159.6,161.3,161.1,161.8,162.8,168.2,169.2,172.9,173.2,175,176.4,175,180.1,187.5,191.5,202.3,214.4,227.6,242.2,242.1,239,239.6,222.9,180.5,167.9,154.5,150.5,157.3,152.7,158,187.1,252.1,235.7,228.8,232.5,226.4,229.7,235.4,232.6,236.9,235.6,231.5,230.9,224.6,227.4,226.4,228.5,246.5,267.7,287.4,296.3,304.4,298.9,298.3,267.1,211.6,189.1,178.8,157.2,178.4,169.1,187.1
Métropole du Grand Paris,131.5,111.5,107.1,104.1,103.7,104.2,103.8,105,107,109.7,114.8,118.8,121,122.5,129.2,134.7,139.7,140.3,143.4,146.2,147,148.2,151.1,152.4,151.6,128.9,130.8,130,131.8,131.2,131.2,131.5,134,110.3,102.8,101.7,100.2,97.3,96.8,95.8,100.7,103.3,106.2,110,113,113.8,125.4,131.4,137.4,138,137.9,141.6,144.5,147.1,152.4,156.8,157.4,139.2,138.5,136.1,136.4,134.7,133.3,134
Métropole d'Aix-Marseille-Provence,191.7,138.3,133.6,131.5,123.3,126.6,127.9,126.5,124.3,124.8,127.1,134.4,133.7,134.3,141,146.8,151.7,158.4,166.5,169.1,170.6,176.3,183.2,189.2,188,158.4,160.6,159.4,165.5,171.1,181.9,191.7,195.8,158.5,152.4,145.1,135.7,136.2,137.6,131.9,124.5,116.7,124,137.1,138.9,140.7,150.4,157.5,159.5,168.5,178.6,179.6,179.9,184.2,189.5,196.3,192,160.6,159.1,159.1,164.4,172.2,188.6,195.8
Dijon Métropole,219.4,160.4,171.5,156.9,154.9,152.5,152.1,148.7,169.2,172,180.4,187.5,197.2,197.6,222.3,223.2,226.3,225.2,227.5,228.6,235.2,228,221.1,229.3,233.8,205.1,206.2,202.9,204.6,213.1,214.3,219.4,214.3,187.3,207.2,165.9,171.5,171.5,159.7,152,249.8,261.1,274.9,287,290.9,292.9,327.2,291.2,287.3,290.4,276.7,282.6,284.4,250.9,217.3,226.3,215.3,193.6,181.8,190.7,179.1,213.4,189,214.3
Brest Métropole,36.6,20.9,19.5,21.4,17.5,20.9,20.9,21,22.5,21.1,18.8,20.3,19.6,22,22.8,22.7,40.1,41.1,44,44.2,43.7,46.8,50.1,38.5,39.7,32.9,37.3,37.3,37.3,39.4,35,36.6,43.2,13.1,15.6,13.1,8.1,8.1,8.1,7.6,7.6,2.5,0,2.5,6.5,12.9,18,18,81.7,92.4,110.2,108.3,101.9,99.8,105.3,51.7,55.8,35.4,46,53.6,60.5,58,50.4,43.2
Toulouse Métropole,71,63.5,60.6,57.5,57.2,54.5,55.1,53.7,49.4,50.1,51.6,51.5,53.1,53.3,54.7,53.1,51,54.6,55.7,56.7,55.2,58.8,66.1,70.1,69.7,59.2,60.6,63.2,66.1,65.7,68.3,71,64.9,88.8,80.9,75.3,80.1,76.6,77.4,77.8,55.6,63.9,62,59.6,60.7,63.2,62.5,57.5,47.4,55.2,53.4,56.2,52.9,51.2,57.4,61.7,55.6,45.7,44,47.2,49.1,54.9,60.5,64.9
Bordeaux Métropole,91.1,71.6,72.1,70.7,72.8,74.6,75.3,78.1,80,80.6,78.7,81.4,81,81.7,81,83.6,85.7,90.8,95.9,97.6,96.8,93.1,94.6,93.2,88.5,70.7,72.6,72.9,77.1,78.3,85.8,91.1,91.6,78.2,92.9,96.4,107.1,111,115.6,118,120.5,110.3,106.5,112.4,109.4,111.6,110.2,109.8,118,119.3,130.9,134.2,129.4,130.9,143.7,148,142.3,110.9,106.9,107.1,99.5,97.8,87.3,91.6
Montpellier Méditerranée Métropole,94,65.2,67.8,72.5,71.5,73.3,74.8,75.5,75,73.5,70.2,76.8,73.2,72.1,72.6,75.2,84.3,87.3,87.9,92.6,92.9,100.3,107,106.5,104.1,87.8,86.9,87.3,86.6,88.9,91.1,94,71.6,59.8,76.6,78.6,75.4,75,75,80.7,79.8,62.2,56.1,64.2,68.2,65.4,65.4,67,82.1,89.3,91,83.4,85.5,86.8,96.4,91.4,84.1,68,68.3,67.5,66,59.5,68.3,71.6
Rennes Métropole,52,48.8,43.4,43.6,42.2,43.6,41.2,37.7,37.8,46,46,48.9,50.8,53.5,66,67.4,73.6,76.2,77.7,71.7,70.6,60.7,60,51,51.5,40.7,45,44.9,51,50.7,52,52,25.6,35.2,32.9,37,35.6,37.9,36.5,26.8,26.4,59.1,56.4,64.2,79.4,81.3,121.4,131,152.7,160,155.2,136.2,137.1,104.3,93.6,42.5,36.5,30.2,29.9,28.5,25.4,26.6,28.4,25.6
Tours Métropole Val de Loire,95.3,74.4,70.6,73.7,73.6,74.7,75.4,75.6,75.3,77,76.6,76.3,79.9,78.5,76.6,80.3,86.2,84.8,87.4,88,90.3,88.8,93.7,100.3,101.2,88.5,86.2,85.1,92.4,92.1,92.1,95.3,80.4,101.7,86.8,99.4,100.2,100.2,105,92.5,95.6,90.9,91.6,77.4,81.3,71.8,58.4,52.1,72.9,61.8,70.2,72.1,72.1,82.3,101.3,122.4,124,113.1,107.3,112,108.1,100.2,72.5,80.4
Saint-Etienne Métropole,154.8,153.9,152.2,148.7,155.1,150.5,150.1,151.7,152.9,161,166.5,169.6,172.6,169.9,179.7,181.6,183.5,194.6,203.6,222.6,232.8,231.6,236.4,238.3,222.9,181.3,169.7,160.1,147.1,152.3,157,154.8,153.2,171,179.6,179.7,177.7,174.7,175.2,162.5,155.3,142.8,155,153.3,153.5,151.2,170.1,173.8,171.3,154.8,162.5,175.2,182.6,167.2,174.7,177.1,170.8,138.9,126.2,118.9,118,127.6,141.2,153.2
Nantes Métropole,87.3,57.2,55.4,57,55.9,60.4,61,56.5,54.9,59.2,59.1,60.1,56.5,57.9,61,62.5,65.3,68.2,71.8,73,72.4,73.2,76.5,76.8,79.2,67.9,74,74.5,79,82.4,84,87.3,79.2,69.7,67.5,63.9,61.6,58,59.8,61.6,71.4,84.8,91.1,100.3,102.7,105.4,111.9,100.7,98.1,114.4,111.2,105.5,103.7,102.5,100.9,93.9,76.7,63.3,71.7,69.9,70.2,72.7,78.1,79.2
Orléans Métropole,134.3,163.2,147.4,146.2,145.3,149.7,149.7,152.1,143.4,155.1,154.5,150.8,145.7,145.6,147.4,140.8,139,147,156.7,161.9,160.5,161.6,158.7,149.6,141.8,113.8,112.6,113.7,119.9,116.8,128.6,134.3,140.3,258.4,223.2,222.8,232.5,233.7,238.7,213.8,159.8,182.4,180.5,176.8,178.9,170.7,183.7,149.1,142.9,188.4,211.4,206.1,202.7,203,200.3,191.7,171.8,138.2,131.9,136.1,152,130.9,156.3,140.3
Métropole du Grand Nancy,222.1,112.2,118.8,129.3,131.6,140.2,140.9,160.9,175.2,179.3,185.7,204.4,210.2,211,226,233.4,242.6,252.9,261,271.1,274.7,289.2,300.9,310.2,293,247,245.1,242.8,231.9,224.7,220.3,222.1,346.9,195.9,205.5,215.8,206.9,199.9,202,203.3,205.8,199.8,194.9,223.2,256.3,254.2,277.8,311,326.5,343.8,337.9,320.8,327.7,356.7,370.7,379.8,341,302.8,312.2,319.8,308.7,321.6,315,346.9
Métropole Européenne de Lille,103.2,131.8,128.4,129.6,125.7,124.5,123.1,119.8,117.5,116.7,114.1,117,118.1,118.3,121,114.1,115.3,114.3,114.8,115.4,116.9,123.5,128.7,130.1,127.4,107,108.4,107.6,99.4,97.2,101.2,103.2,108.5,179,174.9,176.3,169.8,163.8,164,157.3,145.4,149.8,142.3,147.1,153,155.6,168.8,147.6,146.9,146.2,156.8,155.2,155.5,167.6,162.6,164.8,166.3,135.2,132,129,99.6,103.1,108.7,108.5
Clermont Auvergne Métropole,148.6,108.2,113.2,112.7,114,111.4,109.5,101.2,93.4,88.4,92.3,91.4,94.4,96.2,117,126.2,135.6,145.8,165.3,181.7,197.2,194,206,211.9,203.7,166.5,158.6,146.2,144.8,144.2,147.2,148.6,121.8,128.5,157.5,160.4,154.5,150.3,151.7,157.1,149.1,112,112.6,114.4,118.6,124.5,144.3,137.1,141.5,145,157.5,180.9,188.8,191.5,219.8,230,224.2,188.4,166.3,162.6,138.9,130.7,127,121.8
Eurométropole de Strasbourg,154,119.5,126.1,129.1,132.5,132.8,133.1,130.7,128.1,121,118.8,120.4,123.5,123.6,133.7,136.7,144.3,164.6,174.7,183.7,185.2,189.5,196.2,205.2,190,161,145.3,144.5,157,161,157.7,154,158.7,150.4,172,173.6,172.2,169.9,162.6,153,139.9,112.4,112.6,124.2,121.4,123.1,132.6,132.2,131.3,158.1,147.8,151.3,149.7,154.5,164.8,178.3,174,163.4,160,166.2,179.8,186.1,192.7,158.7
Métropole Toulon-Provence-Méditerranée,156.7,108.8,99.9,91.5,90.6,88.9,89.1,88,90.8,93.3,94.7,94.1,97.3,98.7,97.6,100,101.5,109.3,125.6,132.5,133.9,151.5,162.6,175,172.3,144.1,142.8,142.2,143.1,149.1,153.1,156.7,138.8,73.7,68.9,64.1,59.6,51.7,50.9,46.2,45.3,41,48.8,44.9,48.4,51.9,51,58.2,65.6,67.4,81.9,91.4,90.6,104.4,112.1,116.4,115.6,98.2,96,96,104.7,125.4,138.8,138.8
