jour_confi,retail.x,retail.y,transit.x,transit.y,workplaces.x,workplaces.y,residential.x,residential.y
-24,-14,-6,-12,14,-17,-5,3,-1
-23,-17,8,-13,12,-16,-1,3,-1
-22,-18,3,-13,-1,-16,-15,3,3
-21,-17,1,-11,-3,-16,-14,4,4
-20,-18,-5,-15,-5,-8,-12,2,3
-19,-22,-5,-19,-5,-6,-15,2,4
-18,-16,-1,-15,0,-17,-15,4,4
-17,-17,-7,-15,4,-17,-5,4,1
-16,-20,1,-15,2,-15,1,5,0
-15,-20,-6,-14,-4,-16,-5,4,3
-14,-18,-1,-10,-4,-16,-4,5,2
-13,-23,-6,-13,-6,-11,-3,3,2
-12,-15,-8,-10,-6,-7,-5,1,3
-11,-14,-2,-21,-1,-32,-4,8,3
-10,-16,-4,-22,1,-31,0,8,1
-9,-20,0,-21,-2,-28,-1,7,1
-8,-18,-5,-21,-5,-31,-1,8,2
-7,-21,-5,-21,-6,-33,-1,10,2
-6,-27,-6,-17,-5,-16,0,4,1
-5,-20,-8,-20,-7,-11,-1,2,1
-4,-15,-8,-26,-8,-37,-2,9,3
-3,-15,-21,-25,-16,-36,-5,10,5
-2,-13,-38,-24,-21,-31,-9,7,3
-1,9,-43,-13,-39,-33,-36,4,13
0,-62,-68,-48,-61,-44,-55,20,24
1,-68,-83,-52,-76,-34,-67,16,29
2,-65,-82,-49,-78,-32,-71,11,32
